# SOLIS VSM 6302L/core Polar Mean Radial Field Time Series Parameter Data
#
# This file contains a time series of parameter values measured
# from 630.15nm Fe line core magnetograms made with the Vector
# SpectroMagnetograph (VSM) instrument on the Synoptic Optical
# Long-term Investigations of the Sun (SOLIS) telescope.  SOLIS
# was designed and built by the National Solar Observatory (NSO)
# and is operated by the NSO Integrated Synoptic Program (NISP).
# This file was initially created on Sep 1, 2016 at 23:41:08 (UTC)
# and was most recently updated on Nov 4, 2016 at 02:19:33 (UTC),
# with version 1.19 of the routine solis_vsm_meanfield.pro.
#
# The data columns below are described as follows (note that all 
# measurements correspond to longitudes between -50 and 50 degrees):
#
# Column  1: Year of UT observation start date [YYYY]
# Column  2: Month of UT observation start date [MM]
# Column  3: Day of UT observation start date [DD]
# Column  4: UT observation start time [HHMM]
# Column  5: Julian day number for observation midpoint [days]
# Column  6: Mean net magnetic flux for latitudes between -75 and -60 degrees [Gauss]
# Column  7: Error in the mean corresponding to Column 6 [Gauss]
# Column  8: Total number of (Level-2) pixels corresponding to Column 6
# Column  9: Mean net magnetic flux for latitudes between -75 and -65 degrees [Gauss]
# Column 10: Error in the mean corresponding to Column 9 [Gauss]
# Column 11: Total number of (Level-2) pixels corresponding to Column 9
# Column 12: Mean net magnetic flux for latitudes between -70 and -60 degrees [Gauss]
# Column 13: Error in the mean corresponding to Column 12 [Gauss]
# Column 14: Total number of (Level-2) pixels corresponding to Column 12
# Column 15: Mean net magnetic flux for latitudes between 60 and 75 degrees [Gauss]
# Column 16: Error in the mean corresponding to Column 15 [Gauss]
# Column 17: Total number of (Level-2) pixels corresponding to Column 15
# Column 18: Mean net magnetic flux for latitudes between 60 and 70 degrees [Gauss]
# Column 19: Error in the mean corresponding to Column 18 [Gauss]
# Column 20: Total number of (Level-2) pixels corresponding to Column 18
# Column 21: Mean net magnetic flux for latitudes between 65 and 75 degrees [Gauss]
# Column 22: Error in the mean corresponding to Column 21 [Gauss]
# Column 23: Total number of (Level-2) pixels corresponding to Column 21
# Column 24: Data processing version number (Level-2 header keyword VERSION)
#
 2003 08 30 1606 2452882.1747   2.784 0.1245 27799   1.781 0.2213 13423   4.258 0.1115 23251  -2.064 0.2127 56230  -1.436 0.2688 43934  -2.719 0.2207 30746  6.40
 2003 08 30 2037 2452882.3631   3.058 0.1049 27714   2.662 0.1861 13382   3.297 0.0952 23184  -2.064 0.0455 56077  -1.611 0.0480 43815  -2.835 0.0645 30661  6.40
 2003 08 30 2055 2452882.3756   2.972 0.1099 27731   2.299 0.1987 13389   3.294 0.0958 23197  -2.543 0.0464 56116  -1.754 0.0494 43848  -3.323 0.0660 30684  6.40
 2003 08 30 2120 2452882.3924   3.702 0.0989 27773   3.540 0.1774 13411   4.178 0.0874 23233  -2.341 0.0423 54858  -1.634 0.0443 43561  -3.049 0.0616 29387  6.40
 2003 08 31 1429 2452883.1078   3.027 0.1155 27742   3.506 0.2049 13390   3.193 0.1054 23210  -1.978 0.0462 56225  -1.262 0.0490 43929  -2.408 0.0657 30745  6.40
 2003 08 31 1543 2452883.1591   2.956 1.3903 27796   4.678 0.2098 13420   2.382 1.6592 23256  -2.310 0.1944 56330  -1.841 0.2454 44014  -2.572 0.0844 30800  6.40
 2003 08 31 1642 2452883.1997   5.348 0.1387 27780   6.398 0.2451 13407   4.875 0.1204 23242  -2.697 0.0629 56297  -2.268 0.0691 43986  -2.908 0.0881 30785  6.40
 2003 08 31 1744 2452883.2428   4.655 0.1155 27769   6.235 0.2020 13405   4.248 0.1023 23232  -3.151 0.0531 56284  -2.516 0.0573 43977  -3.726 0.0742 30777  6.40
 2003 08 31 1809 2452883.2601   4.719 0.1102 27766   6.640 0.1924 13404   4.097 0.0966 23227  -3.128 0.0486 56282  -2.595 0.0523 43972  -3.732 0.0681 30774  6.40
 2003 09 01 1531 2452884.1504   3.940 0.1199 27764   4.858 0.2049 13397   3.620 0.1106 23231  -1.967 0.0574 56366  -1.712 0.0618 44037  -2.321 0.0811 30824  6.40
 2003 09 04 1511 2452887.1367   3.380 0.1311 27698   4.458 0.2308 13356   2.906 0.1158 23187  -2.782 0.0592 56445  -2.403 0.0608 44095  -3.397 0.0888 30873  6.40
 2003 09 04 1630 2452887.1916   2.993 0.1069 27716   3.039 0.1792 13365   2.698 0.1048 23198  -3.168 0.0594 56488  -2.519 0.0600 44126  -3.985 0.0880 30895  6.40
 2003 09 04 1722 2452887.2277   3.509 0.1016 27719   3.618 0.1727 13368   3.624 0.0980 23201  -2.684 0.0553 56497  -2.294 0.0554 44133  -3.121 0.0832 30900  6.40
 2003 09 04 1821 2452887.2687   3.596 0.0989 27692   3.813 0.1705 13353   3.609 0.0911 23178  -3.111 0.0481 56440  -2.724 0.0484 44091  -3.801 0.0724 30867  6.40
 2003 09 04 1935 2452887.3201   2.877 0.1006 27661   2.051 0.1643 13338   2.968 0.0944 23153  -3.383 0.0437 56380  -2.669 0.0436 44045  -4.454 0.0639 30834  6.40
 2003 09 04 2103 2452887.3812   3.829 0.0953 27632   2.726 0.1696 13324   4.278 0.0853 23129  -3.506 0.0479 56318  -2.876 0.0460 43997  -4.735 0.0703 30801  6.40
 2003 09 04 2233 2452887.4437   2.076 3.7605 27591  -1.265 7.8041 13293   4.867 0.7634 23118  -3.251 0.0583 56309  -2.529 0.0587 43987  -4.616 0.0867 30798  6.40
 2003 09 04 2318 2452887.4749   4.406 0.1711 23369   3.231 0.2775 12205   5.027 0.1546 18926  -3.609 0.0557 56260  -2.999 0.0558 43950  -4.931 0.0835 30768  6.40
 2003 09 05 1515 2452888.1393   4.027 0.1244 27718   3.833 0.2119 13365   3.976 0.1175 23201  -2.361 0.0653 56532  -1.845 0.0662 44163  -3.808 0.0962 30922  6.40
 2003 09 05 1623 2452888.1982   5.252 0.0960 27702   5.759 0.1595 13357   5.584 0.0936 23190  -2.840 0.0535 56507  -2.402 0.0555 44141  -4.362 0.0780 30906  6.40
 2003 09 06 1639 2452889.1978   4.024 0.1167 27692   3.346 0.2064 13350   3.536 0.1028 23181  -3.007 0.0555 56516  -2.758 0.0577 44149  -3.945 0.0830 30912  6.40
 2003 09 07 1509 2452890.1351   4.175 0.1220 27719   4.574 0.2122 13363   4.381 0.1119 23204  -3.179 0.0622 56593  -3.037 0.0654 44209  -4.147 0.0928 30954  6.40
 2003 09 08 1405 2452891.0907   6.030 0.1403 27718   6.492 0.2462 13362   5.732 0.1290 23203  -3.007 0.0715 56600  -2.345 0.0746 44216  -3.923 0.1042 30958  6.40
