# SOLIS VSM 6302L/core Polar Mean Radial Field (Filtered) Time Series Parameter Data
#
# This file contains a filtered time series of parameter values measured
# from 630.15nm Fe line core magnetograms made with the Vector
# SpectroMagnetograph (VSM) instrument on the Synoptic Optical
# Long-term Investigations of the Sun (SOLIS) telescope.  SOLIS
# was designed and built by the National Solar Observatory (NSO)
# and is operated by the NSO Integrated Synoptic Program (NISP).
# This file was created on Nov 4, 2016 at 02:19:42 (UTC) with
# version 1.3 of the routine solis_vsm_polarfield_filter.pro.
#
# The data columns below are described as follows (note that all 
# measurements correspond to longitudes between -50 and 50 degrees):
#
# Column  1: UT year [YYYY]
# Column  2: UT month [MM]
# Column  3: UT day [DD]
# Column  4: UT time [HHMM]
# Column  5: Julian day number corresponding to columns 1-4 [days]
# Column  6: Mean net magnetic flux for latitudes between -75 and -60 degrees [Gauss]
# Column  7: Error in the mean corresponding to Column 6 [Gauss]
# Column  8: Mean net magnetic flux for latitudes between -75 and -65 degrees [Gauss]
# Column  9: Error in the mean corresponding to Column 8 [Gauss]
# Column 10: Mean net magnetic flux for latitudes between -70 and -60 degrees [Gauss]
# Column 11: Error in the mean corresponding to Column 10 [Gauss]
# Column 12: Mean net magnetic flux for latitudes between 60 and 75 degrees [Gauss]
# Column 13: Error in the mean corresponding to Column 12 [Gauss]
# Column 14: Mean net magnetic flux for latitudes between 60 and 70 degrees [Gauss]
# Column 15: Error in the mean corresponding to Column 14 [Gauss]
# Column 16: Mean net magnetic flux for latitudes between 65 and 75 degrees [Gauss]
# Column 17: Error in the mean corresponding to Column 16 [Gauss]
#
 2004 02 26 1200 2453062.0000   4.525 0.0435   4.948 0.0646   4.395 0.0477  -4.021 0.0470  -3.614 0.0496  -4.992 0.0562
 2004 02 27 1200 2453063.0000   4.529 0.0435   4.952 0.0644   4.396 0.0477  -4.026 0.0467  -3.619 0.0493  -4.996 0.0560
 2004 02 28 1200 2453064.0000   4.532 0.0435   4.953 0.0644   4.398 0.0477  -4.030 0.0465  -3.623 0.0491  -5.000 0.0557
 2004 02 29 1200 2453065.0000   4.533 0.0435   4.955 0.0645   4.399 0.0477  -4.037 0.0461  -3.629 0.0487  -5.010 0.0550
 2004 03 01 1200 2453066.0000   4.538 0.0435   4.960 0.0645   4.402 0.0477  -4.042 0.0457  -3.632 0.0485  -5.016 0.0546
 2004 03 02 1200 2453067.0000   4.540 0.0435   4.963 0.0644   4.404 0.0476  -4.046 0.0455  -3.635 0.0483  -5.018 0.0545
 2004 03 03 1200 2453068.0000   4.544 0.0434   4.968 0.0642   4.407 0.0477  -4.048 0.0454  -3.638 0.0482  -5.017 0.0545
 2004 03 04 1200 2453069.0000   4.544 0.0434   4.970 0.0643   4.406 0.0477  -4.052 0.0452  -3.642 0.0480  -5.020 0.0545
 2004 03 05 1200 2453070.0000   4.546 0.0434   4.971 0.0642   4.410 0.0477  -4.054 0.0451  -3.643 0.0480  -5.020 0.0544
 2004 03 06 1200 2453071.0000   4.546 0.0434   4.971 0.0642   4.411 0.0477  -4.058 0.0450  -3.644 0.0479  -5.022 0.0544
